id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41640437,"Blanco Apartment, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63405,22.95033,Entire home/apt,35,1,15,2020-07-08,2.85,51,344
41641447,cozy apartment,171835195,Moris,,Pilea – Chortiatis,40.60301,22.9916,Entire home/apt,38,1,20,2020-07-10,3.37,1,267
41652942,(C19 Prepared) Thess_Urban Luxury Apartment,328642031,Kostas,,Thessaloniki,40.63892,22.93974,Entire home/apt,47,2,1,2020-01-26,0.17,1,365
41653711,Vivo's home,328648402,Vickie,,Thessaloniki,40.60717,22.95325,Entire home/apt,39,115,2,2020-06-05,0.36,1,355
41659808,"★Stunning, minimalist apt w/ view (by Powerbnb)★",214857203,Powerbnb,,Thessaloniki,40.64702,22.93548,Entire home/apt,37,2,7,2020-06-02,1.34,3,362
41673895,Cozy Penthouse,328920895,Περικλης,,Kalamaria,40.5799,22.94398,Entire home/apt,55,4,0,,,1,365
41682746,"Sea & City 2
Living",315578528,Κατερίνα,,Thessaloniki,40.6097,22.95281,Entire home/apt,60,2,5,2020-03-06,0.90,3,87
41683367,"Sea & City  3
Living",315578528,Κατερίνα,,Thessaloniki,40.61074,22.95391,Entire home/apt,40,2,5,2020-03-09,0.90,3,73
41698221,(C19 Prepared) Thess_Urban Luxury Apartment 3,329225500,Maria,,Thessaloniki,40.64042,22.93978,Entire home/apt,49,2,0,,,1,202
41698905,Καλαίσθητο loft με θέα την πόλη,329229567,Cuckoobnb,,Thessaloniki,40.61012,22.97731,Entire home/apt,30,1,2,2020-02-09,0.35,1,180
41704476,"Modern, charming 2 bdrm aptmt close to centre",49695533,Mint Team,,Thessaloniki,40.61027,22.9574,Entire home/apt,49,2,0,,,36,177
41726749,Cozy small apartment at the center of the city#2,226989999,Μιχάλης,,Thessaloniki,40.63754,22.93952,Entire home/apt,30,1,10,2020-03-11,1.69,5,179
41733907,HOME    SKG!,271765271,Mary,,Thessaloniki,40.62953,22.94432,Entire home/apt,45,1,0,,,5,179
41742724,Τhessaliniki flat in Greece,77109521,Michail,,Pavlou Mela,40.67365,22.93402,Entire home/apt,50,1,2,2020-07-08,0.40,1,365
41755896,Studio in Awesome Location w/d to all amenities,73692929,Ioannis,,Thessaloniki,40.63593,22.94156,Entire home/apt,60,1,0,,,12,250
41755921,(C19 Prepared) Santolina #Colony_Aristotelous,329872169,Lampros,,Thessaloniki,40.63437,22.94217,Entire home/apt,43,2,3,2020-03-08,0.55,1,169
41763889,Bella’s House,205247881,Maria,,Thessaloniki,40.61032,22.95484,Entire home/apt,40,1,0,,,2,365
41769560,(C19 Prepared)Unique_Apartment_Thessaloniki_colony,23683619,Eyal,,Thessaloniki,40.6303,22.94994,Entire home/apt,50,2,2,2020-04-15,0.42,2,0
41770637,Θεσσαλονίκη Διαμέρισμα στην Ακτογραμμή με Θέα,329988046,Grigoris,,Kalamaria,40.57465,22.951,Entire home/apt,49,5,2,2020-01-28,0.34,1,131
41792414,"Hermes Suites, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63692,22.93907,Entire home/apt,45,1,7,2020-07-12,1.17,51,352
41816276,Renovated apartment close to city centre,330413195,Aristeidis,,Thessaloniki,40.64645,22.9404,Entire home/apt,60,1,0,,,1,90
41817300,Paradise comfortable apartment!!!,89535441,Giorgios-Anneta,,Pilea – Chortiatis,40.60416,22.99602,Entire home/apt,30,1,4,2020-04-28,0.69,1,179
41817738,"Thessaloniki Flats 2020, cozy 4 persons flat",298527494,Φωτεινη,,Thessaloniki,40.6441,22.93926,Entire home/apt,38,1,5,2020-03-10,0.86,1,19
41832114,"Hermes Suites, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63692,22.93907,Entire home/apt,50,1,4,2020-06-13,0.69,51,355
41839514,"Sea & City 1
Living",315578528,Κατερίνα,,Thessaloniki,40.60925,22.95253,Entire home/apt,80,2,5,2020-05-25,0.88,3,82
41845470,"Restored, immaculate apartment @ city center #1",66843092,Ioannis,,Thessaloniki,40.63938,22.93775,Entire home/apt,29,2,11,2020-03-22,1.99,3,270
41855036,Suite 6,249811265,Kalliopi,,Neapolis – Sykeon,40.64484,22.95061,Entire home/apt,48,1,0,,,1,270
41876928,"Ornament Suites, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63334,22.93922,Entire home/apt,55,1,1,2020-05-19,0.46,51,349
41895419,Mini studio white tower A,261937610,Maria,,Thessaloniki,40.62956,22.95324,Entire home/apt,45,2,1,2020-02-16,0.19,3,179
41895602,5 ☆Suite next to University/International fair☆,240360100,Sofia,,Thessaloniki,40.63221,22.9514,Entire home/apt,50,2,8,2020-07-12,1.40,2,180
41909318,"Hermes Suites, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63692,22.93907,Entire home/apt,55,1,13,2020-06-26,2.47,51,352
41909550,"Ornament Suites, Nilie Premium MGMT",239769711,Nilie,,Thessaloniki,40.63334,22.93922,Entire home/apt,60,1,0,,,51,341
41910056,"Ornament Suites, Nilie Premium MGMT",239769711,Nilie,,Thessaloniki,40.63334,22.93922,Entire home/apt,60,1,0,,,51,353
41910458,"Ornament Suites, Nilie Premium MGMT",239769711,Nilie,,Thessaloniki,40.63334,22.93922,Entire home/apt,60,1,0,,,51,354
41910646,"Ornament Suites, Nilie Premium MGMT",239769711,Nilie,,Thessaloniki,40.63334,22.93922,Entire home/apt,60,1,0,,,51,351
